datetime (YYYY-MM-DD hh:mm:ss),configuration,outdoor air temperature (C),cell A boiler (Wh/sqft),cell B boiler (Wh/sqft),cell A chiller (Wh/sqft),cell B chiller (Wh/sqft),cell A ahu fan (Wh/sqft),cell B ahu fan (Wh/sqft),cell A hw pump (Wh/sqft),cell B hw pump (Wh/sqft),cell A hvac energy (Wh/sqft),cell B hvac energy (Wh/sqft)
2019-08-10 00:00:00,Core-S,16.375773547777776,0.1032795906322338,0.0,0.0,0.0,0.10278291480439813,0.10554834030416667,0.07666746594560185,0.07900755854398148,0.28272997138223377,0.18455589884814816
2019-08-10 01:00:00,Core-S,16.413934712361108,0.10363683009577546,0.0,0.0,0.0,0.10298131131898149,0.10577751568819445,0.07670402955046299,0.07906317260578703,0.28332217096521994,0.18484068829398148
2019-08-10 02:00:00,Core-S,16.181019105555556,0.10871188870572916,0.0,0.0,0.0,0.10313660669097223,0.10586711135555556,0.07669359729189815,0.07908178527199072,0.28854209268859954,0.18494889662754627
2019-08-10 03:00:00,Core-S,15.803744683333333,0.10178958468489585,0.0,0.0,0.0,0.1032040069337963,0.1059211470888889,0.07675260907083331,0.07907930659004629,0.2817462006895255,0.1850004536789352
2019-08-10 04:00:00,Core-S,15.63903132261662,0.10442680484201386,0.0,0.0,0.0,0.10319797916388891,0.10585888863194445,0.07669820059050926,0.07905205358194446,0.28432298459641203,0.18491094221388893
2019-08-10 05:00:00,Core-S,15.760441763888885,0.10443910823177083,0.0,0.0,0.0,0.10302325442060184,0.10577064974560187,0.07665831991296296,0.07906537254351852,0.2841206825653356,0.18483602228912038
2019-08-10 06:00:00,Core-S,16.02987859069444,0.10445351209837965,0.0,0.0,0.0,0.10294675334004631,0.10571805521273148,0.0767221019587963,0.07908685455023148,0.28412236739722224,0.18480490976296296
2019-08-10 07:00:00,Core-S,15.926649397916668,0.0021171660593171313,0.0,0.42488036907166216,0.0,0.11633522842569445,0.10592867645624998,0.07671759030208333,0.07918779725439817,0.6200503538587571,0.18511647371064816
2019-08-10 08:00:00,Core-S,16.074933632916668,0.0,0.0,0.5551494582156455,0.0,0.1081265918238426,0.10687725115694445,0.07666440224652776,0.07907236411226852,0.7399404522860158,0.18594961526921297
2019-08-10 09:00:00,Core-S,17.239587191111113,0.0,0.0,0.6341329140951398,0.0,0.11133005636296296,0.1278540482314815,0.07664539957847222,0.07914637128981482,0.822108370036575,0.20700041952129633
2019-08-10 10:00:00,Core-S,18.85938025944444,0.0,0.0,0.6369616056433434,0.0,0.11880389064050927,0.19058548785254628,0.07668339453703704,0.0793370505587963,0.8324488908208896,0.26992253841134256
2019-08-10 11:00:00,Core-S,19.438699196666665,0.0,0.0,0.6108431383885736,0.6598448637252531,0.11862825275185185,0.27684455258842594,0.07663096135902778,0.07939169576620372,0.8061023524994533,1.0160811120798827
2019-08-10 12:00:00,Core-S,19.591784360972227,0.0,0.0,0.6671514218032296,0.3945210777049174,0.14249150729328702,0.24179506265092593,0.07664194015231482,0.07942866606643519,0.8862848692488314,0.7157448064222784
2019-08-10 13:00:00,Core-S,19.573014711527776,0.0,0.0,0.788880126970911,0.19559852527242466,0.20972294478171297,0.22093722376041666,0.07671100128194444,0.07937949506458335,1.0753140730345685,0.49591524409742466
2019-08-10 14:00:00,Core-S,19.94474458652778,0.0,0.0,0.8127916828269263,0.5635523978273544,0.21607373591527776,0.2655566525662037,0.07675425157361111,0.07946801778032406,1.105619670315815,0.9085770681738822
2019-08-10 15:00:00,Core-S,20.948923987500002,0.0,0.0,0.7939416205330629,0.5200243558105352,0.19796088020555555,0.25530397383402775,0.07681302284583333,0.07947963638287038,1.0687155235844519,0.8548079660274334
2019-08-10 16:00:00,Core-S,19.71984462861111,0.0,0.0,0.8088223193122015,0.4085125897208544,0.20322744197777778,0.24228105992800927,0.0767580169462963,0.07935484116921297,1.0888077782362755,0.7301484908180766
2019-08-10 17:00:00,Core-S,18.096992137638885,0.0,0.0,0.7352638107755634,0.29811363448909356,0.15131910529537035,0.23192840247361113,0.07684323786018518,0.07938871081435185,0.963426153931119,0.6094307477770565
2019-08-10 18:00:00,Core-S,17.26363637805555,0.0,0.0,0.6741872723532882,0.20950110861856863,0.1241355950085648,0.22252388449583335,0.07672449142083333,0.0792420002835648,0.8750473587826864,0.5112669933979668
2019-08-10 19:00:00,Core-S,16.426654559166668,0.1130471905390625,0.0,0.11773568539165023,0.0,0.10258277223796296,0.10810735361342592,0.07680786338611112,0.07914585426944445,0.4101735115547868,0.18725320788287036
2019-08-10 20:00:00,Core-S,15.93149494222222,0.10271621595601847,0.0,0.0,0.0,0.10263760991666666,0.10568015841296298,0.07671319369212963,0.07899766776782408,0.2820670195648148,0.18467782618078704
2019-08-10 21:00:00,Core-S,15.182863452043007,0.10110034358506946,0.0,0.0,0.0,0.10279483522407405,0.10577387319259261,0.0767090932175926,0.07893522754444443,0.2806042720267361,0.18470910073703706
2019-08-10 22:00:00,Core-S,14.720213194444447,0.10339180643981483,0.0,0.0,0.0,0.1030992730986111,0.10600393267546294,0.07667502710856479,0.07901355551226853,0.2831661066469907,0.18501748818773148
2019-08-10 23:00:00,Core-S,14.673149694444447,0.10414401968315973,0.0,0.0,0.0,0.10322647055694446,0.10617972690671298,0.07662851083148148,0.0788948099074074,0.28399900107158565,0.1850745368141204
2019-08-11 00:00:00,Core-S,14.564098694444445,,,,,,,,,,
2019-08-11 01:00:00,Core-S,14.61194491666667,,,,,,,,,,
2019-08-11 02:00:00,Core-S,14.692522930555556,,,,,,,,,,
2019-08-11 03:00:00,Core-S,14.560253291666665,,,,,,,,,,
2019-08-11 04:00:00,Core-S,14.258809972222224,,,,,,,,,,
2019-08-11 05:00:00,Core-S,14.364499861111117,,,,,,,,,,
2019-08-11 06:00:00,Core-S,14.077116680555557,,,,,,,,,,
2019-08-11 07:00:00,Core-S,14.389669180555554,,,,,,,,,,
